Liang,intermediate,85,true
Owen,beginner,45,false
owen,beginner,92,true
ianjohn,advanced,78,true
john,intermediate,60,true
anderson,advanced,88,true
kenny,intermediate,72,true
paul,advanced,95,true
ben,beginner,55,true
liam,intermediate,40,false
lewis,advanced,67,true
liang,beginner,81,true
messi,advanced,100,true
Liang,advanced,94,true
Owen,intermediate,58,true
john,intermediate,77,true
anderson,beginner,63,true
kenny,advanced,81,true
paul,intermediate,49,false
ben,beginner,88,true
liam,advanced,91,true
lewis,advanced,99,true
messi,advanced,100,true
liam,advanced,73,true
owen,beginner,50,true
